section,ref,desc,qty,mass_g,cost_est,notes
hull_structure,HULL-SHELL,Hull shell 1.2mm PETG — 6 printed sections,6,143,,"Sections: nose-cap, fwd-belly, mid-belly, aft-belly, dorsal-fwd, dorsal-aft"
hull_structure,HULL-FOAM,X-30 2-part polyurethane foam — structural fill,1,42,,"2-min pot life, 4× expansion, 600mL mixed volume"
hull_structure,HULL-CF,"Carbon fibre keel + ring frames (3K weave, 1.5mm)",1,28,,"2× keel longerons 450mm, 3× ring frames laser-cut"
hull_structure,HULL-PTFE-TUBE,PTFE conduit tubes ×6 — permanent cableway through foam,6,12,,"4mm OD × 3mm ID, 400mm each — CAN/RS-485/1553/ETH-A/ETH-B/PWR"
hull_structure,HULL-VOID-EPS,"EPS void formers — temporary, removed after foam cure",1,18,,"Consumable — Foamular 150, waxed, 7 zone formers for 8 node bays"
hull_structure,HULL-WAX,Johnson's Paste Wax — void former release agent,1,400,,Consumable — not in dry weight
hull_structure,HULL-CF-TUBE,CF tube spar — nacelle stub arm structural core,2,5,,8mm OD × 6mm ID × 60mm
hull_structure,ACCESS-FRAME-PETG,Access panel frames + lids PETG — panels A–F,6,38,,"A: bayonet-nose, B: M2.5 dorsal-fwd, C: hinge-belly, D: magnet dorsal-aft, E: M2.5 aft, F: bayonet engine-bell"
hull_structure,ACCESS-SCREW-M25,"M2.5×6 SS pan-head screws (panels B, E)",16,4,,
hull_structure,ACCESS-MAGNET,N42 neodymium 6×2mm disc magnets (panel D),8,2,,"4 pairs, push-fit into printed sockets"
hull_structure,ACCESS-GASKET,3M 4016 foam tape gasket — all panel perimeters,1,8,,
hull_structure,ACCESS-EPOXY,Bob Smith BSI-201 epoxy — frame bonding,1,0,,Consumable — negligible dry mass
propulsion,EDF-NAC-L,XRP 3660-2700KV 80mm 6S EDF — port nacelle,1,383,,Phase 7+ only — 120A ESC required
propulsion,EDF-NAC-R,XRP 3660-2700KV 80mm 6S EDF — starboard nacelle,1,383,,Phase 7+ only
propulsion,EDF-FUSE,XFLY Galaxy X4 PRO 40mm 12-blade EDF (4S),1,40,,Forward-flight transition thrust — 4S via balance tap from 6S main
propulsion,BAT-TAP-4S,6S→4S balance tap pigtail (cells 1–4),1,2,,Powers fuselage EDF from 6S main battery cells 1–4
propulsion,ESC-NAC,Hobbywing Platinum V4 120A 6S ESC — nacelle,2,107,,Required for 84A XRP draw — do not substitute lower-rated ESC
propulsion,ESC-FUSE,40A BLHeli32 ESC — fuselage EDF,1,15,,
nacelle_hardware,NAC-POD-80,Nacelle pod 93.5mm OD — budget EDF variant (Phases 2–6),2,18,,Print in Phase 0; used in Phases 2–6 with budget 80mm EDFs
nacelle_hardware,NAC-POD-XRP,Nacelle pod 83mm housing OD — XRP EDF variant (Phase 7+),2,18,,Print in Phase 0; swap in at Phase 7 pod upgrade
nacelle_hardware,NAC-TIP-P,Port nacelle tip cap + WS2812C nav light (RED),1,4,,"Clear PETG window, M2.5 screws"
nacelle_hardware,NAC-TIP-S,Starboard nacelle tip cap + WS2812C nav light (GREEN),1,4,,"Clear PETG window, M2.5 screws"
nacelle_hardware,NAC-ARM,CF stub arm — nacelle pivot mount,2,1,,"2mm CF sheet waterjet, 60×25mm"
nacelle_hardware,TILT-BRACKET,Tilt bracket PETG — servo horn to nacelle ring,2,6,,"Push-fit to MG90S servo horn, M2 locking screw"
nacelle_hardware,SERVO-NAC,MG90S metal gear servo — nacelle tilt,2,9,,"VTOL↔FF tilt: 0°–90°, reverse: 0°–115°"
nacelle_hardware,GEAR-NOZZLE,Variable nozzle gear assembly — fuselage thrust vector,3,4,,3× nozzle petals driven by single SG90 servo
nacelle_hardware,SERVO-NOZZLE,SG90 servo — variable nozzle actuation,1,9,,
avionics_nodes,PB2-FC,"PocketBeagle 2 (AM6232) — FC node, Cape-A mounted",4,10,~$50 ea,"FC1–FC4. AM6232 dual A53 + M4F + PRU-ICSS, 512MB LPDDR4, eMMC. Runs Cape-A sensor/flight-control cape."
avionics_nodes,PB2-CN,"PocketBeagle 2 (AM6232) — CN node, Cape-B mounted",4,10,~$50 ea,CN1–CN4. Same SoC as FC nodes. Runs Cape-B comms/payload cape.
avionics_nodes,CAPE-A,Cape-A PCB 85×55mm 4L — Sensor + Flight Control cape,4,28,~$42 assembled JLCPCB,"ICM-42688-P IMU, BMP388 baro, M10Q GPS, ATA6561 CAN FD, MAX3485E RS-485, DS26LV31/32+xfmr 1553 PRU, DP83825I×2 ETH PHY, SLB9670 TPM2, 8×PWM servo rail, ESC telem UART. Stacks on PB2 P1/P2 headers."
avionics_nodes,CAPE-B,Cape-B PCB 90×60mm 4L — Comms + Logging + Payload cape,4,38,~$80 assembled JLCPCB,"SiK 915MHz, RFM95W LoRa, TI WL1837MOD WiFi/BT, RCRS-49 header, ATA6561 CAN FD, MAX3485E RS-485, DS26LV31/32+xfmr 1553 PRU, DP83825I×2 ETH PHY, SLB9670 TPM2, ATF16V8BQL CPLD write-blocker, microSD log slot, W25Q128JV NOR flash, DRV8833 winch, HX711 load cell, 2×servo cargo. Stacks on PB2 P1/P2 headers."
avionics_nodes,RCRS-49-MOD,RCRS-49 sub-module PCB — 49MHz TDDS RC transceiver,4,12,~$25 ea custom PCB,49MHz TDDS with dynamic channel assignment. Plugs into Cape-B 6-pin JST-GH header. Separate RF PCB with antenna SMA connector.
avionics_nodes,MICROSD-OS,microSD card 32GB (OS boot — eMMC backup),8,1,~$8 ea,One per PB2 node. eMMC is primary boot; microSD is OS fallback and field-reprogram card.
avionics_nodes,MICROSD-LOG,microSD card 64GB (flight log — hardware write-blocked),4,1,~$12 ea,"One per Cape-B (CN nodes only). Write-blocked by Cape-B ATF16V8BQL CPLD latch — SET at power-on, CLEAR only on hard power cycle. Non-executable, append-only log."
avionics_nodes,NOR-FLASH-LOG,W25Q128JV 128Mbit SPI NOR flash — circular log buffer,4,0,~$1.50 ea,On Cape-B. Fast circular write buffer for high-rate sensor telemetry; offloaded to microSD at end of flight.
wiring,PDB,Power distribution board — XT90 main + 3× ESC outputs + 5V BEC bus,1,12,,Rated 100A continuous
wiring,BEC-5V,BEC 5V 5A (DC-DC) — avionics power rail,2,18,,One BEC per 4-node group (FC + CN); redundant avionics rails
wiring,WIRE-ESC-NAC,14AWG silicone ESC→motor leads 200mm × 3-phase × 2 nacelles,1,24,,High-current phase wires
wiring,WIRE-ESC-FUSE,16AWG silicone ESC→motor leads 150mm × 3-phase fuselage,1,8,,
wiring,WIRE-SERVO,20AWG servo extension leads 300mm × 8 (8 PWM channels per FC node × 4 FC nodes — shared via bus arbitration),1,14,,Tilt servos on FC1/FC4; nozzle servo on FC2
wiring,WIRE-XT90,XT90 battery pigtail 100mm,1,15,,
wiring,CAB-CAN,CAN FD 4-pin JST-GH 150mm cables,7,2,,Linear bus: FC1→FC2→FC3→FC4→CN1→CN2→CN3→CN4; 7 inter-node segments + 2 termination resistors
wiring,CAB-RS485,RS-485 4-pin JST-GH 150mm cables,7,2,,"Linear bus, same daisy-chain as CAN FD"
wiring,CAB-1553,1553B 4-pin JST-GH shielded twisted pair 180mm,7,2.7,,"Belden 3084A equiv, 78Ω; 8-node linear bus; stub transformers on each node"
wiring,CAB-ETH,Ethernet 6-pin JST-GH 200mm cables — ring topology,8,2.5,,"Ring: FC1↔FC2↔FC3↔FC4↔CN1↔CN2↔CN3↔CN4↔FC1; 8 links, RSTP loop prevention"
wiring,CAB-ESC-TELEM,ESC telemetry 3-pin JST-GH 200mm,3,1.3,,ESC UART→Cape-A ESC telem port
wiring,CAB-GPS,GPS U.FL→SMA pigtail 150mm,4,3,,One per FC node Cape-A; routes to panel-mount SMA on hull
wiring,CAB-POWER-NODE,5V power Nano-Fit 4-pin per node — PDB→node,8,4,,"Molex Nano-Fit 4-pin (5V+5V+GND+GND), 6A rated; 8 nodes × 1 each"
payload_system,SERVO-DOOR,SG90 servo — cargo clamshell door actuation,2,9,,Driven by CN1/CN3 Cape-B servo headers (PWM via PRU)
payload_system,WINCH-MOT,N20 300:1 geared motor — cargo winch,1,10,,Driven by DRV8833 H-bridge on Cape-B
payload_system,CARGO-GONDOLA,Cargo gondola shell + clamshell doors PETG,1,22,,101.6×76.2×76.2mm interior
payload_system,CLAMSHELL-DOOR,PETG clamshell door panels,2,7,,"Hinged to gondola, SG90 actuated"
payload_system,CARGO-CRADLE,Auto-latch PETG cradle — engages cargo gondola at dock,1,10,,"N52 magnet latch, GPIO release on Cape-B"
payload_system,WINCH-LINE,Dyneema SK75 0.5mm braided line 1.5m,1,1,,Winch spool on N20 motor shaft
payload_system,LOAD-CELL,Strain gauge load cell 500g full-scale,1,4,,HX711 ADC on Cape-B; detects cargo presence and weight
payload_system,SKID-FOOT,TPU landing skids,4,4,,Press-fit to belly keel hard-points
obstacle_avoidance,TOF-A-VL53L5CX,VL53L5CX 8×8 ToF sensor — Array A,6,2,,Array A on FC3; omnidirectional coverage — F/R/L/R/U/D
obstacle_avoidance,TOF-A-MUX,TCA9548A I²C multiplexer — Array A,1,1,,I²C mux for 6× VL53L5CX on shared I²C bus
obstacle_avoidance,TOF-A-GPIO,MCP23008 I²C GPIO expander — Array A XSHUT control,1,1,,Controls VL53L5CX XSHUT pins for sequential init
obstacle_avoidance,TOF-A-MOUNT,VL53L5CX PETG sensor mount + PMMA window,6,1,,Flush-mount to hull; PMMA window bonded with UV resin
obstacle_avoidance,TOF-A-CABLE,VL53L5CX harness JST-ZH 4-pin 150mm,6,1,,I²C + 3.3V power
obstacle_avoidance,TOF-B-VL53L5CX,VL53L5CX 8×8 ToF sensor — Array B,6,2,,Array B on FC2; redundant omnidirectional coverage
obstacle_avoidance,TOF-B-MUX,TCA9548A I²C multiplexer — Array B,1,1,,
obstacle_avoidance,TOF-B-GPIO,MCP23008 I²C GPIO expander — Array B XSHUT control,1,1,,
obstacle_avoidance,TOF-B-MOUNT,VL53L5CX PETG sensor mount + PMMA window — Array B,6,1,,
obstacle_avoidance,TOF-B-CABLE,VL53L5CX harness JST-ZH 4-pin 150mm — Array B,6,1,,
radios_sensors,SIK-915,SiK 915MHz MAVLink telemetry radio module — on Cape-B,4,6,,One per Cape-B (CN1–CN4). Software-elected master; all receive simultaneously. SMA belly antennas.
radios_sensors,LORA-915,RFM95W LoRa 915MHz long-range backup radio — on Cape-B,4,3,,One per Cape-B. Backup command/low-rate telemetry link. SMA dorsal antennas. Different channel from SiK.
radios_sensors,WIFI-TI,TI WL1837MOD WiFi 802.11 a/b/g/n (2.4+5GHz) + BT 5.0 — on Cape-B,4,2,,One per Cape-B. SDIO interface to AM6232. Uses TI wl18xx mainline Linux driver. GCS AP and BT tablet link.
radios_sensors,RCRS-49,RCRS-49 sub-module 49MHz TDDS RC transceiver — plug-in on Cape-B,4,12,,One per Cape-B. Plugs into Cape-B JST-GH 6-pin header. Dorsal SMA antenna. Dynamic channel assignment.
radios_sensors,GPS-M10Q,u-blox M10Q GNSS module + L1 patch antenna — on Cape-A,4,12,,One per FC node Cape-A (FC1–FC4). 4-constellation L1 GNSS. GPS data broadcast over CAN FD DroneCAN message; FC1 is primary source.
radios_sensors,ANT-SIK,915MHz λ/4 SMA monopole whip + RG-316 pigtail,4,3,,"Belly-mount SMA bulkheads, one per CN node"
radios_sensors,ANT-LORA,915MHz SMA whip antenna (LoRa),4,2,,"Dorsal-mount SMA bulkheads, one per CN node; ≥50mm separation from SiK antenna"
radios_sensors,ANT-RCRS,49MHz helical loaded whip + coil enclosure,4,3,,"Dorsal fin SMA mount, one per CN node"
radios_sensors,ANT-WIFI,WL1837MOD PCB antenna or U.FL→SMA pigtail,4,1,,"Dorsal-mount small SMA, one per CN node"
radios_sensors,NAVLIGHT,WS2812C addressable LED + diffuser + mount,6,1.3,,"Port=RED, Stbd=GREEN, Tail=WHITE, Belly=WHITE strobe"
fasteners_misc,STANDOFF,M2.5 nylon/brass standoffs 8mm — node stacking (PB2 + cape),64,8,,
fasteners_misc,SCREW-M25,M2.5 SS screws — panel + standoff,1,6,,
fasteners_misc,ZIPTIE,150mm cable ties,1,4,,
fasteners_misc,FOAM-TAPE,3M VHB or foam tape — board mounting in bays,1,4,,
fasteners_misc,CABLE-CLIP,3D-printed cable management clips,1,4,,
