Ref,Description,Category,Qty,Unit_Mass_g,Total_Mass_g,Supplier,Supplier_PN_or_Search,Est_Unit_Price_USD,Est_Total_Price_USD,Notes
EDF-50-6S,50mm EDF unit @ 6S (6- or 12-blade),Propulsion,4,70,280,AliExpress / Banggood,Surpass Hobby 2627 50mm 6S EDF OR RFX 50mm 12-blade 6S EDF,25.00,100.00,"460g thrust each; verify CW vs CCW rotation before nacelle install; 2 per nacelle tandem; Rev O EDF1 Z=22..72mm EDF2 Z=98..143mm"
EDF-120-6S,120mm EDF unit @ 6S (12-blade),Propulsion,1,420,420,HobbyKing / AliExpress,120mm 12-blade 6S ducted fan EDF 3500g thrust,85.00,85.00,"Panel F engine bell; fan face at station ~430mm from nose; 4-radial-scoop intake via s_aft_edf_plenum; fan annular area ~10683mm²"
ESC-40A-6S,"40A 6S BLHeli32 ESC, BDSHOT600",ESC,4,25,100,AliExpress / HobbyKing,BLHeli32 40A 6S DSHOT600 ESC,18.00,72.00,"One per 50mm EDF; mount in nacelle hub bore ID=20mm; 55A burst"
ESC-80A-6S,80A 6S BLHeli32 ESC,ESC,1,65,65,AliExpress / HobbyKing,BLHeli32 80A 6S ESC 110A burst,30.00,30.00,"For 120mm rear EDF; 110A burst capability required"
SERVO-TILT,"Nacelle tilt servo — digital, metal gear, ≥25 kg·cm @ 6V",Servo,2,65,130,Amazon / AliExpress,DS3218MG 25kg digital servo metal gear,13.00,26.00,"Rev O: servo torque demand reduced by CG-pivot at Z=83mm; only aero + inertia moments remain; hard stops -5°/140°"
SERVO-REAR-NOZZLE,Rear nozzle servo — SG90 class,Servo,1,9,9,Amazon / AliExpress,SG90 9g micro servo 1.8kg,3.00,3.00,"Inside rear fuselage; piano wire pushrod to iris nozzle link ring"
BRG-MF104ZZ,MF104ZZ flanged bearing 4×10×4mm,Bearing,4,2,8,Amazon / AliExpress,MF104ZZ flanged ball bearing 4x10x4mm,1.50,6.00,"2 per nacelle pivot housing; press-fit into clevis ear bore OD=16mm; Rev O: confirmed selection over 686ZZ"
CF-ROD-4MM,4mm OD solid CF pivot rod (cut to length per pivot housing),Structural Hardware,2,8,16,Amazon / AliExpress,4mm solid carbon fiber rod 300mm,6.00,12.00,"One per nacelle; cut length per pivot housing drawing; pivot at Z=83mm (CG) in Rev O"
PIN-3X5,3mm OD × 5mm stainless hinge pin — nozzle petals,Hardware,24,0.5,12,McMaster-Carr / Amazon,"Stainless roll pin 3mm x 5mm, McMaster 98381A175 or equiv",0.50,12.00,"16 for nacelle petals (8 per nacelle × 2) + 8 for rear nozzle petals"
PIANO-WIRE-0.8,0.8mm piano wire / music wire — iris nozzle link rings,Hardware,1,15,15,McMaster-Carr / Amazon,"Music wire 0.8mm dia, 1m lengths, McMaster 9495K51 or equiv",8.00,8.00,"Bent to form link ring connecting petals to nozzle inner ring; 3 rings total"
SECTOR-GEAR-M05,"M0.5 sector gear R=22mm — SUPERSEDED in Rev O by SECTOR-M1-R22 (M=1.0); retain row for Rev N back-compat",Gear,0,5,0,AliExpress / Shapeways / in-house resin,"M0.5 sector gear 22mm pitch radius — see SECTOR-M1-R22 for Rev O replacement",8.00,0.00,"Rev O: replaced by SECTOR-M1-R22 (M=1.0 module). Qty=0 in Rev O build."
BEVEL-PAIR-M05,"M0.5 bevel gear pair 1:1, 90° axis redirect — SUPERSEDED in Rev O by BEVEL-M1-14T",Gear,0,3,0,AliExpress,"M0.5 bevel gear pair 1:1 90 degree shaft — see BEVEL-M1-14T for Rev O replacement",10.00,0.00,"Rev O: replaced by BEVEL-M1-14T (M=1.0). Qty=0 in Rev O build."
PINION-M05,M0.5 drive pinion R=6mm — SUPERSEDED in Rev O by PINION-A-M1-12T and CROWN-M1-12T,Gear,0,1,0,AliExpress / in-house resin,"M0.5 spur pinion 6mm pitch radius — see PINION-A-M1-12T and CROWN-M1-12T for Rev O",5.00,0.00,"Rev O: replaced by M=1.0 pinions. Qty=0 in Rev O build."
PB2-I-FC,"PocketBeagle 2 Industrial AM6254 — FC node, Cape-A",Avionics,4,13,52,BeagleBoard.org / DigiKey,PocketBeagle 2 Industrial (AM6254),51.03,204.12,"FC node upper slot in bays A/B/D/E; runs ArduPilot / flight control stack"
PB2-I-CN,"PocketBeagle 2 Industrial AM6254 — CN node, Cape-B",Avionics,4,13,52,BeagleBoard.org / DigiKey,PocketBeagle 2 Industrial (AM6254),51.03,204.12,"CN node lower slot in bays A/B/D/E; comms + logging + payload control"
CAPE-A,"Cape-A PCB 85×55mm — Sensor + FC cape (tamper mesh on F.Cu/B.Cu nets TMESH_P/N)",Avionics,4,28,112,JLCPCB (fab from project gerbers),serenity/kicad/ CAPE-A gerbers + BOM,42.00,168.00,"Fabricated at JLCPCB; $42 includes PCB + JLCPCB assembly; tamper mesh routed to SLB9670 TPM GPIO"
CAPE-B,"Cape-B PCB 90×60mm — Comms + Logging + Payload cape (tamper mesh on F.Cu/B.Cu nets TMESH_P/N)",Avionics,4,38,152,JLCPCB (fab from project gerbers),serenity/kicad/ CAPE-B gerbers + BOM,80.00,320.00,"Fabricated at JLCPCB; $80 includes PCB + JLCPCB assembly; tamper mesh routed to SLB9670 TPM GPIO"
RCRS-49,RCRS-49 sub-module PCB — 49 MHz TDDS RC,Avionics,4,12,48,JLCPCB (fab from project gerbers),RCRS-49 gerbers,25.00,100.00,"Mates to Cape-B; top wire antenna dorsal spine nose post ~120mm → EDF cone ~600mm; base-loaded 38uH coil"
MICROSD-LOG,64GB microSD — Cape-B write-blocked flight log,Avionics,4,1,4,Amazon,Samsung 64GB microSD Class 10 U3,12.00,48.00,"Write-blocked; flight log storage; formatted FAT32 or ext4 per firmware"
WIRE-49MHZ,49MHz top wire — 0.3mm stainless steel ~470mm dorsal spine,Avionics,1,3,3,Amazon / AliExpress,Stainless steel wire 0.3mm dia 1m spool,5.00,5.00,"End-fed shortened wire; horizontal polarisation; cross-pol loss ~6-12dB at <=300m acceptable"
POST-FWD-49,Forward wire post + base-loading coil — PETG post + 38uH coil + LC pi-net at dorsal hull ~120mm,Avionics,1,4,4,In-house / AliExpress,38uH air-core inductor + variable cap + PETG printed post,8.00,8.00,"3mm clearance from GPS patch face; bench-test HDOP <=1.5 with RCRS TX before flight"
POST-AFT-49,Aft wire post + ceramic bead insulator — top of rear nozzle cone ~600mm from nose,Avionics,1,2,2,AliExpress,Ceramic standoff insulator 3mm + PETG post,3.00,3.00,"Strain-relief wire at aft post; open-circuit (insulated) end"
BATT-6S-4000,6S 4000mAh LiPo — hover / high-endurance,Power,1,750,750,HobbyKing / GetFPV,Tattu or Gens Ace 4000mAh 6S 60C LiPo XT60,55.00,55.00,"Primary flight battery; >=15C cont (~60A draw); AUW ~3550g with this cell"
BATT-6S-2800,6S 2800mAh LiPo — cargo delivery (lower mass),Power,1,525,525,HobbyKing / GetFPV,Tattu or Gens Ace 2800mAh 6S LiPo XT60,40.00,40.00,"Use when payload <=250g; -225g AUW vs 4000mAh cell"
PDB-BEC,Dual BEC PDB — 5V + 6V output >=5A each from 6S,Power,1,40,40,Amazon / AliExpress,Dual BEC power distribution board 5A 5V 6V XT60,25.00,25.00,"5V for avionics bus (8x PB2-I + capes); 6V for servo bus (3 servos); 6S main input"
LED-WS2812B,WS2812B addressable RGB LED ring — nozzle backlight,Lighting,3,8,24,Amazon / AliExpress,WS2812B LED ring 12-LED or 16-LED 50mm dia,8.00,24.00,"One per nozzle (x2 nacelle + x1 rear); mounts at duct exit lip; driven via Cape-B GPIO"
N20-WINCH,N20 300RPM 6V gear motor — cargo door winch,Cargo,1,10,10,Amazon / AliExpress,N20 micro gear motor 300RPM 6V,5.00,5.00,"Drives clamshell cargo door; paired with HX711 load cell for weight sensing"
HX711-LC,HX711 24-bit load cell ADC module,Cargo,1,3,3,Amazon / AliExpress,HX711 load cell amplifier breakout module,4.00,4.00,"Cargo weight monitoring; interfaces to Cape-B SPI/GPIO"
CF-BAR-6X3,CF flat bar 6x3mm x 620mm — hull keel + 49MHz counterpoise,Structural,1,30,30,Amazon / AliExpress,6mm x 3mm carbon fiber flat bar 700mm,12.00,12.00,"Full hull length; datum marks at 91/165/251/320/388mm from nose; also serves as RCRS-49 counterpoise"
CF-TUBE-12MM,CF tube 12mm OD x 1.5mm wall x 350mm — wing spar,Structural,2,35,70,Amazon / AliExpress,12mm OD 1.5mm wall carbon fiber tube 350mm,10.00,20.00,"Wing spar through wing root to fuselage; carries nacelle tilt loads"
CF-PLATE-2MM,2mm CF plate — ring frame profiles (x5 stations),Structural,1,50,50,Amazon / AliExpress,2mm carbon fiber sheet 200x300mm,20.00,20.00,"Jig-cut 5 cross-section profiles at 91/165/251/320/388mm stations"
FOAM-PU-2LB,"Two-part closed-cell PU foam — 2 lb/ft³, 4x expansion",Structural,1,900,900,Amazon / Foam Factory,2 lb/cu ft two-part expanding foam kit (A+B),25.00,25.00,"~0.7L mixed fill; place EPS void formers for avionics bays + cargo before pouring; do NOT foam nacelle"
WIRE-10AWG,10AWG silicone wire — battery to PDB and ESC inputs,Wiring,1,80,80,Amazon / AliExpress,10AWG silicone wire red/black 1m each,15.00,15.00,"Main power bus; 1m per polarity sufficient"
WIRE-16AWG,16AWG silicone wire — ESC to EDF motor phase leads,Wiring,1,40,40,Amazon / AliExpress,16AWG silicone wire 3m assorted,10.00,10.00,"5 ESCs x 3 phases x ~200mm each"
WIRE-28AWG-STP,28AWG shielded twisted pair — servo signal + DSHOT leads,Wiring,1,20,20,DigiKey / Mouser,28AWG shielded twisted pair signal cable 5m,15.00,15.00,"Minimise EMI near avionics bays; use shielded for DSHOT and servo signal runs"
CONDUIT-PTFE,PTFE conduit 3mm ID — data bus run full hull length,Wiring,1,25,25,Amazon / AliExpress,PTFE tube 3mm ID 4mm OD 700mm,8.00,8.00,"Houses CAN FD / RS-485 / 1553 / ETH data bus bundle; full hull length"
FIL-PETG,PETG filament 1kg spool — hull shells and fairings,Filament,2,1000,2000,Amazon / Hatchbox / eSUN,Hatchbox or eSUN PETG 1kg 1.75mm,28.00,56.00,"~1400g required across all PETG prints; buy 2 spools; 0.20mm layer / 8% gyroid typical"
FIL-CF-PETG,CF-PETG filament 0.75kg spool — structural nacelles and brackets,Filament,1,750,750,3DXTech / MatterHackers,3DXTech CarbonX PETG+CF 0.75kg 1.75mm,48.00,48.00,"~620g required in Rev O (nacelle bosses + conduit add ~20g); requires hardened-steel nozzle; 0.15mm layer / 25-40% gyroid"
FIL-TPU-95A,TPU 95A flexible filament 0.75kg — landing gear feet,Filament,1,250,250,Amazon / Polymaker,Polymaker PolyFlex TPU95 0.75kg 1.75mm,30.00,30.00,"~100g required; 0.25mm layer / 40% infill"
PRINT-HEAD-SHELL,"s_head_shell24.stl — Cockpit / nose section",Printed Part,1,95,95,In-house 3D print,PETG — see FIL-PETG,0.00,0.00,"0.20mm / 8% gyroid"
PRINT-MIDDLE-CANONICAL,"s_middle_canonical_shell24.stl — Fuselage mid-section, canonical belly (NO scoop)",Printed Part,1,135,135,In-house 3D print,PETG — see FIL-PETG,0.00,0.00,"0.20mm / 8% gyroid; SCAD: serenity/stl/s_middle_canonical_shell24.scad; belly restored to original Serenity geometry"
PRINT-CARGO-SECT,"s_cargo_sect_shell24.stl — Cargo section",Printed Part,1,180,180,In-house 3D print,PETG — see FIL-PETG,0.00,0.00,"0.20mm / 8% gyroid"
PRINT-REAR-NECK-INTAKE,"s_rear_neck_intake_shell24.stl — Rear fuselage / engine bell with 4 radial scoop windows",Printed Part,1,225,225,In-house 3D print,PETG — see FIL-PETG,0.00,0.00,"0.20mm / 8% gyroid; SCAD: serenity/stl/s_rear_neck_intake_shell24.scad; 4x 65x60mm cutouts at 90deg spacing at neck station ~310mm; verify NECK_X param in slicer"
PRINT-NECK-INTAKE-FRAME,"s_neck_intake_frame.stl — CF-PETG structural intake frame ring (bonds into 4 scoop windows)",Printed Part,1,85,85,In-house 3D print,CF-PETG + hardened nozzle — see FIL-CF-PETG,0.00,0.00,"0.15mm / 40% gyroid / 4 walls; SCAD: serenity/stl/s_neck_intake_frame.scad; bond with West System 105/206; cure 24h before foam-fill"
PRINT-AFT-PLENUM,"s_aft_edf_plenum.stl — PETG 4-to-1 cross-shaped plenum manifold (4 scoops -> 120mm EDF)",Printed Part,1,75,75,In-house 3D print,PETG — see FIL-PETG,0.00,0.00,"0.20mm / 20% gyroid; SCAD: serenity/stl/s_aft_edf_plenum.scad; seals all joints with epoxy fillet; pressure-test before closing hull"
PRINT-EDF-MOTOR-MOUNT,"s_edf_120_motor_mount.stl — CF-PETG 120mm EDF motor mount spider + fairing cone",Printed Part,1,55,55,In-house 3D print,CF-PETG + hardened nozzle — see FIL-CF-PETG,0.00,0.00,"0.15mm / 40% gyroid / 4 walls; SCAD: serenity/stl/s_edf_120_motor_mount.scad; 3-arm spider; forward spigot registers in plenum bell; M3 hub bolt pattern 24mm BC"
PRINT-THRUST-TUBE,"s_edf_120_thrust_tube.stl — PETG 120mm EDF thrust tube (~440mm to ~600mm)",Printed Part,1,45,45,In-house 3D print,PETG — see FIL-PETG,0.00,0.00,"0.20mm / 20% gyroid; SCAD: serenity/stl/s_edf_120_thrust_tube.scad; 120mm ID x 3mm wall x 155mm long; verify EDF_CASING_OD before printing"
PRINT-WINGS,"s_wings_both_shell24.stl — Wing pair (both sides)",Printed Part,1,110,110,In-house 3D print,PETG — see FIL-PETG,0.00,0.00,"0.20mm / 8% gyroid"
PRINT-NACELLE-PORT,"s_eng_left_stator_shell24_revo.stl — Port nacelle + CW stator + nav-wire conduit + harness port (Rev O)",Printed Part,1,132,132,In-house 3D print,CF-PETG + hardened nozzle — see FIL-CF-PETG,0.00,0.00,"0.15mm / 25% gyroid / 4 walls; SWIRL_DIR=+1 PYLON_SIDE=+1; SCAD: nacelle_pod_50mm_tandem.scad; pivot Z=83mm; nav-wire D-conduit on +X face; harness port 14×8mm at Z=86mm"
PRINT-NACELLE-STBD,"s_eng_right_stator_shell24_revo.stl — Stbd nacelle + CCW stator + nav-wire conduit + harness port (Rev O)",Printed Part,1,132,132,In-house 3D print,CF-PETG + hardened nozzle — see FIL-CF-PETG,0.00,0.00,"0.15mm / 25% gyroid / 4 walls; SWIRL_DIR=-1 PYLON_SIDE=-1; SCAD: nacelle_pod_50mm_tandem.scad -D SWIRL_DIR=-1 -D PYLON_SIDE=-1"
PRINT-PYLON,"s_wing_nacelle_pylon_port/stbd_revo.stl — Integrated wing nacelle tilt pylon (Rev O — supersedes s_pivot_arm_a + s_eng_piv_outer)",Printed Part,2,52,104,In-house 3D print,CF-PETG — see FIL-CF-PETG,0.00,0.00,"0.15mm / 40% gyroid / 4 walls; hollow body = harness channel; spar press-fit bore 3.98mm; 4× M2.5 sector insert + 4× M3 wing insert; rigidly fixed to wing (no fold); SCAD: serenity/stl/s_wing_nacelle_pylon_revo.scad"
PRINT-PIV-OUTER,"s_eng_piv_outer_scaled24.stl — SUPERSEDED by PRINT-PYLON in Rev O",Printed Part,0,35,0,In-house 3D print,SUPERSEDED — see PRINT-PYLON,0.00,0.00,"Retained for traceability; replaced by s_wing_nacelle_pylon_revo.scad which merges pivot arm + outer housing into one CF-PETG part"
PRINT-PIV-PINS,"s_eng_piv_pins_scaled24.stl — SUPERSEDED by PRINT-PYLON fold hinge CF pin in Rev O",Printed Part,0,12,0,In-house 3D print,SUPERSEDED — see SPAR-HINGE-CF4,0.00,0.00,"Retained for traceability; fold detent now achieved by M2.5 set screws in pylon hinge ears"
PRINT-PISTONS,"s_eng_pistons_scaled24.stl — Tilt piston linkage fairing",Printed Part,2,25,50,In-house 3D print,PETG — see FIL-PETG,0.00,0.00,"0.20mm / 20% gyroid; decorative fairing only"
PRINT-PIVOT-ARM,"s_pivot_arm_a_scaled24.stl — SUPERSEDED by PRINT-PYLON in Rev O",Printed Part,0,20,0,In-house 3D print,SUPERSEDED — see PRINT-PYLON,0.00,0.00,"Retained for traceability; replaced by s_wing_nacelle_pylon_revo.scad merged design"
SPAR-TILT-CF4,4mm OD solid CF rod — nacelle tilt spar (press-fit in pylon + MF104ZZ bearing in nacelle),Hardware,2,3,6,Amazon / AliExpress,4mm solid carbon fiber rod 300mm,5.00,10.00,"120mm per nacelle; cut to length; press-fit in pylon bore OD 3.98mm; nacelle MF104ZZ bearing rotates on spar"
LED-WS2812C-NAC,WS2812C-2020 RGB LED — nacelle tip nav lights (port RED / stbd GREEN),LED,4,0.05,0.2,AliExpress / Mouser,WS2812C-2020 addressable RGB LED,0.20,0.80,"2 per nacelle: 1× tip cap LED + 1× spare; FAA 14 CFR 91.209 compliant: port=RED stbd=GREEN; 3-core 28AWG signal from avionics CN node; nacelle_tip_cap_port/stbd.stl has 2×2mm LED recess"
WIRE-28AWG-NAC,28AWG 3-core silicone wire — nacelle nav light WS2812C signal lead,Hardware,1,8,8,Amazon / AliExpress,28AWG 3-core silicone wire 1m,2.50,2.50,"VCC / GND / DATA per IEC 60332-1; routed through nacelle D-conduit and pylon hollow body; ~500mm per nacelle run"
INSERT-M25-BRASS,M2.5 brass heat-set insert (M2.5×L5 OD3.5mm) — sector gear mount,Hardware,8,0.2,1.6,Amazon / AliExpress,M2.5 brass heat-set threaded insert L5mm,0.10,0.80,"4 per pylon sector gear mount × 2 pylons; installed with soldering iron 220°C into CF-PETG"
INSERT-M3-WING,M3 brass heat-set insert (M3×L5 OD4.2mm) — wing attachment bolts,Hardware,8,0.3,2.4,Amazon / AliExpress,M3 brass heat-set threaded insert L5mm,0.12,0.96,"4 per pylon wing block × 2 pylons; M3×16 SHCS bolt from wing side"
PRINT-NACELLE-PETAL,"nacelle_nozzle_petal.stl — Nacelle iris nozzle petal (50mm) redesigned for M=1.0 rack in Rev O",Printed Part,16,2,32,In-house 3D print,PETG body + translucent-blue PETG inner face — see FIL-PETG,0.00,0.00,"8 per nacelle x 2 nacelles; print flat; inner concave face in translucent-blue for LED backlight; SCAD: nacelle_nozzle_iris.scad"
PRINT-NACELLE-RING,"nacelle_nozzle_ring.stl — Nacelle iris base ring (M=1.0 internal rack in Rev O)",Printed Part,2,18,36,In-house 3D print,CF-PETG — see FIL-CF-PETG,0.00,0.00,"0.15mm / 40% / 4 walls; M=1.0 rack R_eff=28mm on inner ring; driven by Crown Pinion; SCAD: nacelle_nozzle_iris.scad"
PRINT-REAR-PETAL,"rear_nozzle_petal.stl — Rear iris nozzle petal 38deg span",Printed Part,8,4,32,In-house 3D print,PETG body + translucent-blue PETG inner face,0.00,0.00,"0.20mm / 20% gyroid; inner concave face translucent-blue for LED backlight"
PRINT-REAR-FRAME,"rear_nozzle_frame.stl — Rear nozzle base ring + 8 fixed ribs (one-piece)",Printed Part,1,55,55,In-house 3D print,CF-PETG — see FIL-CF-PETG,0.00,0.00,"0.15mm / 30%; cone frame visible at all petal states"
PRINT-FEET,"s_feet_x_4_scaled24.stl — Landing gear feet x4",Printed Part,1,80,80,In-house 3D print,TPU 95A — see FIL-TPU-95A,0.00,0.00,"0.25mm / 40%; flexible shock absorbers"
PRINT-LEGS,"s_legs_scaled24.stl — Landing gear legs",Printed Part,1,60,60,In-house 3D print,CF-PETG — see FIL-CF-PETG,0.00,0.00,"0.15mm / 30%"
SECTOR-M1-R22,M=1.0 sector gear R=22mm — fixed to tilt bracket,Gear,2,8,16,In-house resin print,nacelle_sector_gear.scad,3.00,6.00,"Fixed to bracket; nacelle Pinion A rolls along arc during tilt; print resin SLA at <=0.05mm"
PINION-A-M1-12T,M=1.0 Drive Pinion A N=12T R=6mm on nacelle exterior,Gear,2,3,6,In-house resin print,nacelle_pinion.scad,2.00,4.00,"MR63ZZ (3×6×2.5mm) × 2 per pinion; shaft = 3mm CF rod"
BEVEL-M1-14T,M=1.0 bevel gear pair N=14T 45° pitch cone 1:1 90° redirect,Gear,4,4,16,SDP-SI or in-house resin,nacelle_bevel_pair.scad,8.00,32.00,"2 per nacelle (Bevel A transverse + Bevel B longitudinal); resin SLA preferred"
CROWN-M1-12T,M=1.0 Crown Pinion N=12T R=6mm drives nozzle ring rack,Gear,2,3,6,In-house resin print,nacelle_pinion.scad,2.00,4.00,"MR63ZZ × 2 per crown"
BEVEL-HOUSING,Bevel gear housing block CF-PETG 24×14×20mm,Gear,2,12,24,In-house CF-PETG print,nacelle_bevel_housing.scad,0.00,0.00,"Mounts to inboard nacelle boss posts via M2.5 screws"
SHAFT-CF-3MM,3mm OD solid CF rod for gear shafts cut to length,Hardware,1,4,4,Amazon / AliExpress,3mm solid carbon fiber rod 300mm,6.00,6.00,"2× 22mm transverse + 1× 52mm longitudinal per nacelle"
BRG-MR63ZZ,MR63ZZ miniature ball bearing 3×6×2.5mm,Bearing,8,0.5,4,Amazon / AliExpress,MR63ZZ miniature ball bearing 3x6x2.5mm,0.80,6.40,"2 per pinion/crown × 4 = 8 total"
PTFE-SLEEVE-4MM,PTFE tube 4mm OD 3mm ID longitudinal shaft sleeve,Hardware,1,2,2,Amazon / AliExpress,PTFE tube 4mm OD 3mm ID 300mm,4.00,4.00,"52mm per nacelle inside conduit; lubricates 3mm CF shaft"
